dpto_name,mpio_name,unique_id,razon_social,year_matricula,year_cancela,year_renueva,ciiu1,ciiu2,ciiu3,ciiu4,Activos M.,Ingresos M.,Pasivos M.,Patrimonio M.
VALLE,CALI,1339326,INVERSIONES PYRHON & CIA SEN C,2007,,2023,4759,"","","",999999,4071,306,11394
VALLE,CALI,1344042,ORGANIZACION EL TREBOL LTDA,2008,2024,2023,8130,3900,8292,"",11788,3744,-1156,10632
VALLE,CALI,1347716,CENTRO DE EVENTOS & CONVENCIONES LAS PILAS,2008,,2023,6810,1709,"","",12293,6400,-2102,10191
VALLE,CALI,1355702,DIAZ CASTRO CONSTRUCCIONES LTDA.,2009,,2023,4290,4330,4390,4111,3348,1403,-913,2435
VALLE,CALI,1356059,ORNAMENTO LTDA,2009,2023,2023,4290,4112,"","",12776,4934,-1851,10925
VALLE,CALI,1358433,IT SECURITY,2010,,2023,6202,"","","",8788,4113,-4130,4658
VALLE,CALI,1358449,ALMACEN ELECTRICOS DE OCCIDENTE,2010,,2023,4690,4321,4329,"",10577,7095,-738,9839
VALLE,CALI,1358508,ASCENSORES SEAP,1998,,2023,4329,"","","",9262,2854,615,9877
VALLE,CALI,1361749,CITY WOK,2010,2023,2023,4729,"","","",12180,3973,-2604,9576
VALLE,CALI,1365235,HERNANDO ARDANI SERRANO CORREDOR S.A.S.,2011,,2023,0161,"","","",9129,5726,-2134,6995
VALLE,CALI,1365849,MUEBLES TANCY,2011,,2023,9524,4755,"","",999999,5085,-3093,8203
VALLE,CALI,1365865,DLT CONSULTORES,2011,,2023,6910,6920,"","",9023,3747,-495,8528
VALLE,CALI,1369873,PENSIONES PROSPERAR ABOGADOS,2011,,2023,6910,7830,6820,"",7268,2232,-2617,4651
VALLE,CALI,1370644,CORC S.A.S.,2011,,2023,4659,"","","",13025,3973,-5431,7594
VALLE,CALI,1371271,SUBWAY CIUDAD JARDIN,2011,,2023,1084,5612,"","",11852,6675,-3075,8777
VALLE,CALI,1371694,ALIANZAS COMERCIALES EN SERVICIOS,2011,2023,2023,8699,8299,8559,"",14311,9130,-3122,11189
VALLE,CALI,1372003,ASESORIA EN SERVICIOS TECNICOS DE ELECTRICIDAD Y GAS DE COLOMBIA S.A.S,2011,,2023,9522,7490,"","",10163,5323,-2916,7247
VALLE,CALI,1372638,CENTRO EDUCATIVO ALFA Y OMEGA 1,2012,,2023,8512,"","","",12813,1840,-1049,11764
VALLE,CALI,1373886,CENTRO COMERCIAL SAN ANDRESITO DEL ORIENTE SAS,2012,,2023,6820,6810,5310,"",14939,2171,-2374,12565
VALLE,CALI,1374710,MIS MASCOTAS Y MAS,2012,,2023,4759,"","","",9296,4274,-391,8905
VALLE,CALI,1374970,CHOKO STORE,2012,,2023,9329,"","","",6693,4974,-2191,4502
VALLE,CALI,1375257,ALO NEGOCIOS SAS,2012,2023,2023,7010,4741,"","",999999,4158,838,10240
VALLE,CALI,1376308,PYRHON GROUP S.A.S.,2012,,2023,4669,"","","",9465,4867,-1912,7553
VALLE,CALI,1376802,I P S VITAL LIFE INTERNACIONAL S.A.S.,2013,,2023,1089,"","","",10379,9373,-2935,7444
VALLE,CALI,1377328,SUBWAY CAPRI,2013,,2023,1084,5612,"","",14281,2746,-3838,10443
VALLE,CALI,1377384,IMPERMEABILIZACIONES Y CONSTRUCCIONES RUIZ S.A.S,2013,,2023,4111,"","","",9185,3263,2061,11246
VALLE,CALI,1377957,MUNDO DESTINOS CALI,2013,,2023,8560,"","","",10933,6606,-4317,6616
VALLE,CALI,1377984,SUBWAY UNICENTRO OASIS,2013,,2023,1084,5612,"","",9431,5838,-1686,7745
VALLE,CALI,1378397,ACAR SEGUROS LTDA,2013,,2023,6621,6629,"","",10051,5536,-106,9945
VALLE,CALI,1379054,UNIVERSAL DE SUMINISTROS CALI,2014,,2023,4773,3312,4761,4659,10785,9858,-1060,9725
VALLE,CALI,1380350,SUBWAY PREMIER LIMONAR,2014,,2023,1084,5612,"","",13321,4174,1213,14534
VALLE,CALI,1381101,LOGROS ESTRATEGIA EMPRESARIAL S.A.S.,2014,,2023,7020,"","","",10303,3748,262,10565
VALLE,CALI,1381131,EVACOL ELITE 2M&W,2014,2023,2023,4772,4643,"","",11782,7918,-4293,7489
VALLE,CALI,1381237,ANA RICCI ACCESORIOS,2014,,2023,3210,1410,"","",11947,2056,-4017,7930
VALLE,CALI,1381970,VULCANO IMPRESOS Y PUBLICIDAD S A S,2015,,2023,4761,1812,"","",12287,3713,14,12301
VALLE,CALI,1382128,BESOLAR,2015,,2023,4669,4773,4729,"",8564,6660,1379,9943
VALLE,CALI,1382171,BY3A PERCUSSION ENTRETENIMIENTO,2015,,2023,9007,3220,4755,"",14067,5007,-2337,11730
VALLE,CALI,1382378,CHEF EN CASA CALI,2015,,2023,5612,5619,1084,5621,9048,6205,-3938,5110
VALLE,CALI,1382668,MARDEN CALI BARRIO SANTA HELENA,2016,2023,2023,4761,4669,"","",9736,6471,-3474,6262
VALLE,CALI,1382711,CENTRO DE ENSEÑANZA AUTOMOVILISTICA ANDES CAR'S,2016,,2023,8551,8559,"","",13510,6014,-3443,10067
VALLE,CALI,1382734,TORTAS Y POSTRES LIDO,2016,2023,2023,4729,1081,"","",13235,6390,-3091,10144
VALLE,CALI,1382781,INMOBILIARIA OSPINA DREAM HOME S.A.S.,2016,,2023,6820,6810,4669,4111,7275,3666,-715,6560
VALLE,CALI,1382810,TORRE D PLATA JOYERIA,2016,2023,2023,3210,7410,"","",7817,4525,-1800,6017
VALLE,CALI,1382812,ESTACION DE SERVICIO BUENO MADRID,2016,,2023,4731,6621,"","",6605,5909,-1408,5197
VALLE,CALI,1382960,GRUPO GREEN HOUSE SAS,2016,,2023,0128,0129,"","",10455,6647,-4640,5815
VALLE,CALI,1382966,DPS CONSULTING GROUP S.A.S.,2016,,2023,6910,8559,7490,"",10412,11549,-2793,7619
VALLE,CALI,1383064,ADMINISTRAMOS PH CALI,2016,,2023,6820,"","","",10910,6114,-417,10493
VALLE,CALI,1383093,SINERGIA CENTRO FINANCIERO,2017,2024,2023,6612,6619,8299,"",11380,3651,-4619,6761
VALLE,CALI,1383094,SEMILLAS DIGITALES,2017,,2023,7310,7020,6130,6190,999999,5288,-1397,7098
VALLE,CALI,1383188,CLEAN DAY S.A.S,2017,,2023,4669,"","","",7516,2392,-1849,5667
VALLE,CALI,1383192,AURUM TIMBIQUI,2017,,2023,9411,4662,0722,"",12567,6488,976,13543
VALLE,CALI,1383227,PROTEGEMOS LA EXCELENCIA A SU SERVICIO,2017,2023,2023,4774,9609,6910,5813,11878,5695,1245,13123
VALLE,CALI,1383234,PANADERITOS DEL HEROE,2017,,2023,1081,"","","",6227,5909,-3795,2432
VALLE,CALI,1383237,VINAL CALI,2018,,2023,4632,4631,"","",9762,7160,-1527,8235
VALLE,CALI,1383261,MAXIREMATES DE TODO PARA TODOS COLOMBIA,2018,,2023,4719,4771,4772,"",7760,5643,-8,7752
VALLE,CALI,1383267,TECNOBEST ANDROIDE,2018,,2023,4741,9511,"","",4823,4115,-2591,2232
VALLE,CALI,1383277,JOYERIA Y VARIEDADES BOLIVAR,2018,,2023,4662,2421,3210,4774,10375,7239,658,11033
VALLE,CALI,1383284,NEWELL BRANDS DE COLOMBIA S.A.S. SUCURSAL CALI,2018,2023,2023,4644,"","","",9802,4703,-2374,7428
VALLE,CALI,1383302,FUNDACION BANCO DE TEJIDOS HUMANOS TISSUE BANK,2018,,2023,8699,"","","",9757,2438,-3484,6273
VALLE,CALI,1383304,LINEA AZUL HOSPITAL EN CASA,2018,,2023,8692,8699,8710,8621,10540,5558,116,10656
VALLE,CALI,1383308,ALMENDRA & CORAL,2018,,2023,4755,4759,"","",12206,3532,-5239,6967
VALLE,CALI,1383311,ARANGO ARCE,2018,,2023,9319,5621,"","",10514,6588,-3111,7403
VALLE,CALI,1383313,ISLA TIGOUNE JARDIN PLAZA,2018,,2023,6120,6110,"","",8459,8366,-2794,5665
VALLE,CALI,1383323,SURTI FRUVER DEL VALLE J.S,2019,,2023,4721,4729,4620,"",8163,3106,166,8329
VALLE,CALI,1383328,ROOFTOP DON JUAN DE LA TORRE,2019,,2023,5630,5611,"","",9670,3860,-2177,7493
VALLE,CALI,1383430,JAG & CU GLOBAL SERVICES,2019,,2023,4329,4390,"","",10775,2846,-38,10737
VALLE,CALI,1383431,EFECTY GALERIA OLIMPICA PORVENIR,2019,2024,2023,5229,5310,8299,"",7401,2312,-705,6696
VALLE,CALI,1383434,APOYO CREDITICIO,2019,,2023,7020,6495,6810,6820,9539,3715,-275,9264
VALLE,CALI,1383444,BANZO S A S,2019,2024,2023,1084,1089,"","",12418,708,-3994,8424
VALLE,CALI,1383450,DISTRIBUIDORA DE PAPAS D.C.,2019,,2023,4721,8299,"","",9729,5469,-2522,7207
VALLE,CALI,1383490,DROGUERIA COMFANDI COLON,2019,2023,2023,4773,4711,"","",8254,5702,-4147,4107
VALLE,CALI,1383496,CAFE RESTAURANT MOSCU,2019,,2023,5611,5621,"","",9310,5013,-4116,5194
VALLE,CALI,1383497,CAFE RESTAURANT MOSCU,2019,,2023,5611,5621,"","",12787,5794,-2616,10171
VALLE,CALI,1383503,BOTERO E HIJOS,2020,,2023,7410,4791,4719,4751,11375,6290,-3113,8262
VALLE,CALI,1383511,GOLD GROUP G&G SAS CALI I,2019,,2023,4652,6190,4771,"",13092,3554,-3572,9520
VALLE,CALI,1383512,TRAVEL OFFERS,2019,,2023,7911,"","","",10348,6331,-1498,8850
VALLE,CALI,1383519,ASMET SALUD EPS SAS VALLE,2019,,2023,8430,"","","",11026,5900,385,11411
VALLE,CALI,1383553,CDA REVINORTE,2020,,2023,7120,"","","",8604,4648,-26,8578
VALLE,CALI,1383563,DROGUERIA COMFANDI COSMOPLAZA,2020,2023,2023,4773,4711,"","",11513,7162,-4144,7369
VALLE,CALI,1383566,AGENCIA DE VIAJES Y TURISMO COMFANDI - SUPERMERCADO GUADALUPE,2020,2024,2023,7911,"","","",8734,6887,-2451,6283
VALLE,CALI,1383567,AGENCIA DE VIAJES Y TURISMO COMFANDI - C.C UNICO,2020,2024,2023,7911,"","","",6449,2802,-5544,905
VALLE,CALI,1383724,EFECTY OLIMPICA TEQUENDAMA,2020,2023,2023,5229,5310,8299,"",10320,6306,-70,10250
VALLE,CALI,1383742,ADICTOS A LA MODA CALI STORE,2020,,2023,4771,4791,"","",14865,-265,-2885,11980
VALLE,CALI,1383763,SUPERMERCADO COMFANDI EL POBLADO,2020,2024,2023,4711,4773,"","",12002,3153,-2689,9313
VALLE,CALI,1383793,EMPORIUM GYM,2020,,2023,9319,4729,4771,"",12913,2781,-2277,10636
VALLE,CALI,1383796,RAPITIENDA Y CAFETERIA LA NAVE,2020,,2023,4711,5611,"","",10897,6810,-749,10148
VALLE,CALI,1383798,NORTE REAL HOTEL,2020,2023,2023,5511,"","","",8479,7287,1109,9588
VALLE,CALI,1383802,MINIMARKET REDI,2020,,2023,4724,4754,"","",9494,4938,-2269,7225
VALLE,CALI,1383822,MUITO SABOR,2020,,2023,1081,1089,"","",9317,3208,395,9712
VALLE,CALI,1383833,MAXIS EVENTS,2020,2023,2023,5621,8230,4769,"",8828,6657,-1152,7676
VALLE,CALI,1383840,DUSHAYA,2020,2024,2023,8621,8720,8692,"",11760,4934,-4469,7291
VALLE,CALI,1383933,CLINICA OFTALMOLOGICA DE PALMIRA CLINICA NORTE,2021,2023,2023,4774,8621,8692,"",7007,1999,-2378,4629
VALLE,CALI,1383938,LEGALIZE,2021,,2023,1392,4771,"","",12166,6963,584,12750
VALLE,CALI,1383939,TIENDA HELANDIA,2021,,2023,4711,"","","",12160,6860,-2347,9813
VALLE,CALI,1383943,C.I COLOMBIA COMERCIA E.O SAS CALI,2021,,2023,1020,4662,4631,2012,7003,5515,-6661,342
VALLE,CALI,1383954,CRUZ GOMEZ INVERSIONES SAS,2021,,2023,5613,5619,"","",11599,7564,959,12558
VALLE,CALI,1383958,HELADERIA LA 75 CHIPICHAPE,2021,,2023,5613,5619,"","",16076,8105,-3248,12828
VALLE,CALI,1383960,SEABELT,2021,,2023,4771,4791,"","",8607,9112,-3576,5031
VALLE,CALI,1383965,SECRET ORCHID COLOMBIA S.A.S,2021,,2023,5511,"","","",12112,7105,-281,11831
VALLE,CALI,1383998,"CALIPARTES, CAMIONES Y REPUESTOS MULTIMARCAS S.A.S",2021,,2023,4530,4512,"","",8044,8079,-2571,5473
VALLE,CALI,1384009,BUÑUELOS RELLENOS.CALI,2021,,2023,5630,1081,4711,5613,12777,4382,-2152,10625
VALLE,CALI,1384040,MESTARI F.C.,2022,,2023,9312,"","","",10625,8053,-524,10101
VALLE,CALI,1384061,INNOVA EXPRESS MULTISERVICIOS CALI,2022,,2023,5320,6493,5229,"",14130,3021,-5477,8653
VALLE,CALI,1384074,DROGUERIA COMFANDI LYRATA PLAZA,2022,2024,2023,4773,4711,"","",999999,8618,-1488,4865
VALLE,CALI,1384078,ELECTRICOS Y ACCESORIOS J & E,2022,,2023,4321,4752,"","",9872,4243,-3790,6082
VALLE,CALI,1384082,DISTRIFLEC MONTEROJO GOURMET,2022,,2023,4729,4722,"","",8683,2474,-2816,5867
VALLE,CALI,1384098,DISTRIFLEC MONTEROJO GOURMET,2022,,2023,4729,4722,"","",9507,3207,-3227,6280
VALLE,CALI,1384101,PUENTES ORTEGA SEDE CALI,2022,,2023,4923,5022,5621,4711,8426,4737,-3652,4774
VALLE,CALI,1384105,ELSA RICURAS RESTAURANTE BAR,2022,,2023,5611,5630,"","",7915,1330,-3917,3998
VALLE,CALI,1384109,KAPITAL TRIBUTARIO,2022,,2023,6910,6920,"","",11447,6440,-1344,10103
VALLE,CALI,1384112,TRANSPORTES J L SEGUROS SAS,2022,2024,2023,6621,4921,"","",7281,7484,-2083,5198
VALLE,CALI,1384119,MIMASCOTAPP COLOMBIA,2022,,2023,4791,"","","",13710,1730,38,13748
VALLE,CALI,1384124,DROGUERIA COMFANDI C.C LA ESTACION,2022,2024,2023,4773,4711,"","",7034,8604,-901,6133
VALLE,CALI,1384127,LA BODEGA DEL PVC CALI,2022,2024,2023,4663,4752,"","",10253,8088,-2583,7670
VALLE,CALI,1384129,E.D.S. GUADUALES,2022,,2023,4732,4731,"","",11332,4313,-3917,7415
VALLE,CALI,1384134,PARQUEADERO SUCRE 11 B,2022,,2023,5221,"","","",11467,5895,-3963,7504
VALLE,CALI,1384140,VIVE INMOBILIARIA BY CLAUDIA RIVERA,2022,,2023,6810,"","","",9246,3189,-3157,6089
VALLE,CALI,1384149,UNIPAR ALQUILERES DE COMPUTADORES CALI,2022,,2023,7730,4741,"","",10199,3988,-2752,7447
VALLE,CALI,1384251,TOXIC'S MODA'S JOYERIA Y ACCESORIOS,2022,,2023,4719,4773,4771,4774,12403,5592,-1332,11071
VALLE,CALI,1384265,HELADERIA CC PALMETTO NIVEL1,2022,,2023,5619,"","","",6359,6896,-325,6034
VALLE,CALI,1384267,LA SIFRINA YUBIRI,2022,,2023,5613,5619,"","",999999,3622,-2523,5523
VALLE,CALI,1384305,SERVICIOS TURISTICOS AMASIA,2022,,2023,7911,7912,7990,"",10801,4513,-2920,7881
VALLE,CALI,1384324,LA 23 LICORES,2022,,2023,4711,4719,5611,"",8888,6181,-4843,4045
VALLE,CALI,1384329,TRANSPORTES UNIDOS DE CARGA LOGIFUTURO SAS CALI,2023,,2023,4923,5222,"","",13425,5621,-3505,9920
VALLE,CALI,1384330,CORREDOR ECO - TURISTICO  DE AVENTURAS Y EXPERIENCIAS POR LA CUMBRE TRAVEL,2023,,2023,7990,"","","",11683,4649,1601,13284
VALLE,CALI,1384331,ENKICELL,2023,,2023,4741,4791,"","",10180,3938,796,10976
VALLE,CALI,1384335,RANCHO Y LICORES WILLI MARG,2023,,2023,5630,4724,"","",6231,3211,3271,9502
VALLE,CALI,1384336,IMPORTADORA Y COMERCIALIZADORA DE TECNOLOGIA SAS IMCOTEC,2023,,2023,4641,4659,4644,"",10065,3070,-2193,7872
VALLE,CALI,1384337,ARPATEL SISTEMAS & CO S.A.S.,2022,2023,2023,6202,6920,7490,6201,9209,6203,-2690,6519
VALLE,CALI,1384338,URBAN AUTO SERVICE S.A.S,2022,2024,2023,4520,4530,4732,"",9744,5657,-369,9375
VALLE,CALI,1384341,APARTAMENTOS TEQUENDAMA,2023,2024,2023,5511,"","","",7046,3100,680,7726
VALLE,CALI,1384344,VISSION A J,2023,,2023,9004,9609,4791,6190,11247,7760,-619,10628
VALLE,CALI,1384347,HOTEL WINDSOR CSI,2023,,2023,5511,"","","",7403,-438,-2680,4723
VALLE,CALI,1384349,SERVICIOS Y TECNOLOGIA DE COLOMBIA SAS,2023,,2023,6201,6311,6202,5210,9434,4171,-4223,5211
VALLE,CALI,1384351,SUPERMARKET PRIMOS,2023,,2023,4723,"","","",10954,5327,-1181,9773
VALLE,CALI,1384353,VIDVIECALI,2023,2023,2023,4741,4690,"","",8041,507,-3174,4867
VALLE,CALI,1384358,OLFABRAND JARDIN PLAZA,2023,,2023,4759,"","","",11457,7606,-5230,6227
VALLE,CALI,1384359,UPESUR CALI S.A.S.,2023,,2023,8699,4773,"","",6709,3915,-1490,5219
VALLE,CALI,1384364,HARLEY SALAZAR,2023,,2023,4719,4773,"","",2976,7274,-176,2800
VALLE,CALI,1384368,SUPLEMAX 8,2023,,2023,4773,4759,"","",11162,4023,921,12083
VALLE,CALI,1384370,ENERGIA LIMPIA Y EFICIENTE SAS ESP,2023,,2023,3511,6810,3514,"",12101,1896,-1973,10128
VALLE,CALI,1384374,ANGEL AMBIENTAL SAS,2023,,2023,3830,2221,"","",9285,6354,-2895,6390
VALLE,CALI,1384380,THE FOOD PALACE,2023,,2023,5619,5611,5621,4791,11260,4395,-450,10810
VALLE,CALI,1384383,JAVIFINAN-SER,2023,,2023,8559,7020,6630,"",7110,4838,-2071,5039
VALLE,CALI,1384386,SAM'S FOOD,2023,,2023,5611,5619,"","",9682,4412,-689,8993
VALLE,CALI,1384388,SKYLINE SOUTH,2023,,2023,4659,3320,4520,"",5146,4734,-5528,-382
VALLE,CALI,1384389,MALCONST,2023,,2023,4663,"","","",12953,3722,-3998,8955
VALLE,CALI,1384391,BARRA Y LICORES FABER,2023,,2023,5630,5629,5619,"",14650,4069,-5419,9231
VALLE,CALI,1384394,AVAL TOURS,2023,,2023,7911,7912,"","",12685,4222,-4624,8061
VALLE,CALI,1384400,PELETERIA RODRIGUEZ NJ,2023,2024,2023,1511,4772,"","",9932,7027,-1284,8648
VALLE,CALI,1384405,ACADEMIA NACIONAL DE SEGURIDAD PRIVADA CLAVE,2023,2024,2023,8559,"","","",9917,2297,212,10129
VALLE,CALI,1384410,MUEBLES Y MADERAS JHONNY 2,2023,,2023,3110,4719,4791,"",6210,6424,-4060,2150
VALLE,CALI,1384499,EUROPORTUARIA SAS,2023,,2023,5224,"","","",11976,4840,-3421,8555
VALLE,CALI,1384505,TIENDA DEPORTIVA EL MARATON,2023,,2023,4762,"","","",9473,6542,1506,10979
VALLE,CALI,1384507,FERRETERIAS UNIDAS N° 1,2023,,2023,4752,"","","",999999,4995,247,8605
VALLE,CALI,1384512,LIFE STYLE OPTICAL,2023,,2023,4774,"","","",6470,1061,-3557,2913
VALLE,CALI,1384522,PACHITOS PANADERIA Y RESTAURANTE,2023,2024,2023,1081,5619,"","",9251,1769,-979,8272
VALLE,CALI,1384546,GRETTA¿S STEAK HOUSE,2023,2024,2023,5613,"","","",7877,3034,-2320,5557
VALLE,CALI,1384552,ZAMORACO 3,2023,,2023,4771,"","","",9007,4963,-2915,6092
VALLE,CALI,1384556,ZAMORACO,2023,,2023,4771,"","","",6956,5113,-2347,4609
VALLE,CALI,1384560,DISTRIBUIDORA MAKRO CALI,2023,,2023,4632,5229,"","",999999,4268,393,14612
VALLE,CALI,1384566,PUNTO ELECTRICO LUXURY,2023,,2023,4774,4754,4719,"",9960,4233,-5365,4595
VALLE,CALI,1384569,DOMINOS PIZZA VALLE DE LILI,2023,,2023,5619,"","","",999999,5421,-4563,8124
VALLE,CALI,1384571,TIMCOF GROUP,2023,,2023,7911,4791,7020,6422,3496,2419,-1683,1813
VALLE,CALI,1384584,TPN TELEPROTECCION,2023,,2023,8020,8010,4652,"",999999,3887,-8629,238
VALLE,CALI,1400534,ALMACEN PREMIUM,2004,,2023,4773,4774,6810,"",8311,2601,-3355,4956
VALLE,CALI,1408042,CASA MEDICA DEL SUR,2006,,2023,8691,8692,"","",6943,7771,-5798,1145
VALLE,CALI,1413271,INVERSIONES VILOREN¿S,2006,,2023,1410,5310,5320,"",13867,876,-1544,12323
VALLE,CALI,1429676,OPTICA OPTI SALUD,2009,,2023,4774,"","","",6462,1000,-325,6137
VALLE,CALI,1452593,SURTIESCOBILLAS OSPINA,2014,2024,2023,9529,"","","",10796,1673,-2330,8466
VALLE,CALI,1452686,FRUTY SABOR DEL VALLE,2014,2023,2023,5611,5621,"","",12116,4830,-3279,8837
VALLE,CALI,1453518,BILLARES TRANQUILANDIA,2014,,2023,5630,4724,9329,"",10445,4943,-753,9692
VALLE,CALI,1454532,COMERCIALIZADORA AGROPET¿S,2015,2024,2023,4690,4799,"","",7812,4008,-4539,3273
VALLE,CALI,1454801,PIZZERIA Y WAFFLERIA DULSADOS,2016,2024,2023,1081,5619,"","",999999,3859,-2608,9745
VALLE,CALI,1454821,PONTE AL DIA SALUD FINANCIERA,2016,,2023,8299,"","","",10426,6211,-1901,8525
VALLE,CALI,1454919,ECO - MASCOTAS,2017,,2023,4759,9609,7500,"",7341,2388,-433,6908
VALLE,CALI,1454932,CASA HOSTAL CRISTALES,2018,,2023,5519,"","","",6530,4854,-3745,2785
VALLE,CALI,1454947,VIVIANA AGUDELO BEAUTY,2018,,2023,8692,9602,4773,"",15217,4718,-2621,12596
VALLE,CALI,1454950,EL CASTILLO TE VISTE,2019,,2023,4771,4772,"","",8304,3594,1267,9571
VALLE,CALI,1454962,BI. LANKA,2019,,2023,7410,7729,4771,7020,5361,5422,2376,7737
VALLE,CALI,1454970,DETALLES CORDOBA,2019,2024,2023,3311,4771,"","",11333,6594,268,11601
VALLE,CALI,1454975,MINI BURGERS AND SOMETHING ELSE,2020,,2023,5611,5613,5619,"",10776,3977,-2910,7866
VALLE,CALI,1454985,EBM ADECUACIONES CIVILES,2020,,2023,4329,4322,4321,"",6615,3568,-2862,3753
VALLE,CALI,1454999,PAPELERIA Y MISCELANEA BETTY,2021,,2023,4719,6110,"","",5143,8877,-5673,-530
VALLE,CALI,1455004,VALLE LLANTAS,2021,2023,2023,8621,4791,"","",9709,4679,-245,9464
VALLE,CALI,1455020,SER.TEC.MON,2021,,2023,3319,3320,"","",12848,-572,-2084,10764
VALLE,CALI,1455030,FAMIVIVIR NATURAL,2021,,2023,4773,7310,"","",999999,6115,-2341,9249
VALLE,CALI,1455035,MISCELANEA LICORES VARIOS.LUZ AMPARO.,2022,,2023,4711,5619,4724,"",8768,6665,347,9115
VALLE,CALI,1455039,DEDITOS CALI,2022,,2023,1089,5621,"","",7915,4682,-2872,5043
VALLE,CALI,1455045,DYA PROYECTOS ARQUITECTURA Y DISEÑO,2022,,2023,1630,4290,8230,"",10678,7739,-2070,8608
VALLE,CALI,1455058,ESTAMPADOS YOSMAR,2022,,2023,1313,4642,4771,"",10393,3900,-488,9905
VALLE,CALI,1455061,JAM ROCK CAFE,2022,,2023,5611,"","","",11574,5213,-1402,10172
VALLE,CALI,1455063,CRAZY YOUNG STORE,2022,,2023,4771,"","","",9011,3013,-248,8763
VALLE,CALI,1455069,HILDA LUCIA OREJUELA PELUQUERIA,2023,,2023,9602,"","","",12248,4423,-2272,9976
VALLE,CALI,1455076,CHIPS BURGUER 100% ANGUS,2023,,2023,5611,"","","",7923,3186,-2504,5419
VALLE,CALI,1455082,ORGANIZACION DEMI,2023,,2023,6820,"","","",9174,1667,-2724,6450
